,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid,Label
103,803.125,852.5,190.5,797.25,269.125,191.875,117.875,1182.375,455.375,574.125,40.04,41.75,0
104,860.75,551.0,168.5,857.25,299.5,236.25,148.5,1153.875,529.5,416.0,41.51,36.51,0
105,1108.5,1498.125,155.125,1111.0,345.75,227.5,114.0,1396.625,700.75,1190.0,41.92,35.93,0
106,1026.625,1099.5,351.0,1009.125,397.375,255.25,150.125,1267.25,610.625,774.0,42.26,35.29,0
107,1068.375,1082.625,464.0,1046.0,477.5,304.375,186.25,1295.5,602.0,738.375,42.57,35.04,0
108,872.875,1018.625,151.125,883.375,274.5,190.125,98.0,1158.5,511.375,671.125,40.16,41.12,0
109,1396.75,1183.125,299.5,1398.125,510.875,319.625,170.5,1433.625,864.0,744.375,40.19,41.23,0
110,1128.75,1117.375,211.125,1128.0,364.25,237.625,128.375,1295.5,681.125,750.125,40.66,40.3,0
111,1180.625,1099.375,249.0,1173.75,419.25,271.75,144.375,1474.875,758.375,1075.5,39.0,42.61,0
112,600.5,888.875,100.5,609.25,233.375,192.875,113.125,1124.0,380.625,664.625,39.31,42.02,0
113,923.875,926.0,179.25,927.125,266.0,168.25,83.375,1282.875,526.25,665.25,39.92,45.03,0
114,1333.875,1119.125,300.625,1331.25,432.625,248.75,119.25,1551.0,808.5,847.75,40.24,44.49,0
115,1513.25,1105.625,332.125,1502.25,534.5,321.75,175.5,1651.5,994.25,719.375,40.19,41.11,0
116,930.25,882.375,200.125,924.625,303.0,206.5,126.25,1324.75,519.875,548.0,40.67,39.95,0
117,782.25,915.25,124.75,782.375,263.75,207.875,122.75,1130.5,502.0,796.875,39.48,41.64,0
118,635.25,974.625,134.375,631.875,259.375,196.625,121.25,1075.625,440.625,755.25,39.95,40.69,0
119,439.75,686.375,79.0,435.0,196.625,166.125,113.625,772.375,310.625,649.875,40.27,39.68,0
120,1103.0,835.25,221.5,1090.875,348.5,232.5,133.5,1276.25,690.75,643.375,39.53,42.36,0
121,506.375,1037.375,68.25,514.0,182.875,154.0,85.25,1076.875,358.375,704.0,38.53,44.26,0
122,1004.125,800.5,151.125,1010.875,299.625,203.5,107.5,1328.75,578.25,675.375,38.93,43.22,0
123,697.25,755.25,468.5,695.75,467.125,304.625,178.875,775.875,457.5,502.0,39.89,43.4,0
124,1208.625,675.75,216.625,1209.875,431.0,280.875,148.75,1185.625,754.0,537.625,40.1,42.29,0
125,1582.5,1018.4375,187.0,1586.625,319.625,218.6875,124.25,1446.5,1014.625,698.875,40.23,42.0,0
126,757.875,776.5,143.75,770.125,300.125,239.75,141.5,1036.5,441.125,638.75,40.67,41.22,0
127,662.75,649.875,103.5,663.125,225.625,179.25,109.75,1270.375,413.0,530.25,39.45,43.44,0
128,634.75,753.875,99.875,632.625,210.0,163.875,99.5,1138.625,398.375,639.5,39.53,41.23,0
129,1674.375,1097.625,365.125,1666.125,599.75,341.5,170.25,1241.4375,1133.375,973.25,41.58,39.01,0
130,871.75,1072.0,115.75,885.875,249.75,180.75,83.875,1561.875,506.5,923.0,41.89,38.92,0
131,1131.875,964.0,180.75,1122.0,341.25,217.625,116.875,1450.625,713.0,781.0,39.93,41.63,0
132,1105.75,824.625,179.125,1101.375,291.25,164.125,70.75,1593.5,656.75,566.75,42.5,37.63,0
133,679.25,842.0,116.0,683.5,263.25,201.75,124.375,1076.25,404.875,666.75,40.09,40.69,0
134,919.125,703.25,153.25,919.0,306.375,223.375,126.0,1161.25,559.5,641.625,40.47,40.12,0
135,1001.875,1555.75,168.75,1002.75,359.875,239.875,117.375,1345.25,648.0,698.875,40.1,39.66,0
136,787.625,830.375,121.5,791.375,263.75,199.5,116.125,1223.25,474.875,668.5,40.04,41.73,0
137,645.0,962.0,65.625,663.25,185.0,116.5,124.25,1084.625,405.375,651.875,40.53,40.63,0
