time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1835.75,2010.25,2157.875,2144.625,2435.125,1908.875,530.875,2439.75,1732.75,1557.625,38.09,45.85
0.1,1835.625,2009.875,2157.875,2144.5,2435.125,1908.625,530.875,2439.5,1732.5,1557.375,38.07,45.84
0.2,1835.375,2009.625,2157.75,2144.375,2435.125,1908.625,530.875,2439.25,1732.25,1557.25,38.06,45.88
0.3,1835.25,2009.375,2157.75,2144.25,2435.125,1908.375,530.75,2439.0,1732.25,1557.0,38.1,45.83
0.4,1835.0,2009.0,2157.75,2144.125,2435.0,1908.25,530.625,2438.625,1732.125,1556.75,38.09,45.8
0.5,1834.875,2008.5,2157.75,2143.875,2435.0,1908.25,530.5,2438.375,1732.0,1556.625,38.1,45.83
0.6,1834.625,2008.25,2157.75,2143.75,2434.875,1908.125,530.375,2438.0,1731.875,1556.375,38.12,45.86
0.7,1834.5,2007.75,2157.75,2143.5,2434.875,1908.125,530.25,2437.75,1731.75,1556.125,38.12,45.84
0.8,1834.375,2007.5,2157.75,2143.5,2434.875,1907.875,530.125,2437.5,1731.5,1556.0,38.1,45.86
0.9,1834.25,2007.25,2157.75,2143.375,2434.875,1907.875,530.125,2437.25,1731.375,1555.875,38.07,45.84
1.0,1834.0,2006.875,2157.625,2143.25,2434.875,1907.625,529.875,2437.0,1731.375,1555.625,38.1,45.86
1.1,1833.75,2006.5,2157.5,2143.125,2434.75,1907.625,529.875,2436.625,1731.25,1555.375,38.12,45.84
1.2,1833.625,2006.125,2157.5,2142.875,2434.75,1907.5,529.625,2436.25,1731.125,1555.25,38.12,45.82
1.3,1833.375,2005.625,2157.625,2142.625,2434.75,1907.5,529.625,2436.0,1731.125,1555.125,38.1,45.84
1.4,1833.25,2005.25,2157.625,2142.5,2434.625,1907.375,529.5,2435.75,1731.0,1555.0,38.12,45.82
1.5,1833.0,2005.0,2157.5,2142.375,2434.625,1907.375,529.375,2435.5,1730.875,1554.875,38.1,45.81
1.6,1832.875,2004.625,2157.5,2142.25,2434.625,1907.25,529.375,2435.25,1730.75,1554.625,38.1,45.87
1.7,1832.625,2004.375,2157.5,2142.125,2434.5,1907.125,529.25,2434.875,1730.75,1554.5,38.12,45.82
1.8,1832.5,2004.0,2157.25,2142.0,2434.625,1907.125,529.125,2434.625,1730.625,1554.375,38.09,45.8
1.9,1832.25,2003.625,2157.25,2141.75,2434.5,1907.125,529.0,2434.375,1730.625,1554.125,38.12,45.84
2.0,1832.125,2003.25,2157.25,2141.625,2434.5,1907.125,528.875,2434.0,1730.625,1554.125,38.12,45.86
2.1,1832.125,2002.875,2157.375,2141.5,2434.5,1907.125,528.75,2433.75,1730.625,1554.0,38.1,45.81
2.2,1832.0,2002.625,2157.375,2141.375,2434.5,1907.125,528.625,2433.5,1730.75,1554.0,38.09,45.83
2.3,1831.75,2002.375,2157.375,2141.375,2434.625,1907.375,528.5,2433.375,1730.875,1554.125,38.1,45.81
2.4,1831.625,2002.125,2157.25,2141.5,2434.625,1908.625,528.5,2433.125,1731.125,1554.125,38.1,45.79
2.5,1831.5,2001.75,2157.25,2142.0,2434.625,1911.375,528.375,2433.0,1731.5,1554.25,38.1,45.78
2.6,1831.375,2001.5,2157.25,2143.25,2435.0,1916.0,528.5,2433.25,1732.375,1554.625,38.1,45.78
2.7,1831.25,2001.375,2157.25,2145.625,2435.5,1923.25,528.625,2434.25,1733.5,1555.75,38.12,45.83
2.8,1831.125,2001.25,2157.25,2149.25,2436.375,1932.75,529.25,2436.375,1734.875,1558.25,38.12,45.84
