time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1759.0,1953.0,2112.875,2073.375,2415.625,1885.5,491.75,2337.375,1715.875,1497.25,38.2,44.45
0.1,1759.0,1952.875,2113.0,2073.5,2415.625,1885.5,491.75,2337.25,1715.875,1497.25,38.22,44.45
0.2,1758.875,1952.875,2113.0,2073.625,2415.625,1885.375,491.625,2337.25,1715.875,1497.375,38.19,44.49
0.3,1758.875,1952.875,2113.0,2073.625,2415.625,1885.25,491.625,2337.25,1715.875,1497.375,38.2,44.42
0.4,1758.875,1952.875,2113.0,2073.75,2415.625,1885.375,491.625,2337.125,1715.875,1497.375,38.2,44.48
0.5,1758.75,1952.75,2113.0,2073.75,2415.75,1885.25,491.625,2337.125,1716.0,1497.5,38.23,44.44
0.6,1758.75,1952.625,2113.0,2073.625,2415.75,1885.375,491.5,2337.0,1716.125,1497.5,38.2,44.42
0.7,1758.75,1952.5,2113.125,2073.625,2415.75,1885.375,491.5,2337.0,1716.125,1497.5,38.2,44.42
0.8,1758.75,1952.5,2113.25,2073.625,2415.75,1885.375,491.5,2336.875,1716.125,1497.5,38.2,44.42
0.9,1758.75,1952.375,2113.25,2073.625,2415.625,1885.25,491.5,2336.875,1716.125,1497.5,38.2,44.45
1.0,1758.625,1952.375,2113.25,2073.75,2415.75,1885.25,491.375,2336.75,1716.125,1497.5,38.22,44.48
1.1,1758.5,1952.375,2113.25,2073.75,2415.75,1885.125,491.25,2336.75,1716.125,1497.5,38.24,44.5
1.2,1758.5,1952.375,2113.125,2073.75,2415.75,1885.125,491.25,2336.75,1716.125,1497.5,38.23,44.41
1.3,1758.375,1952.125,2113.25,2073.75,2415.75,1885.25,491.125,2336.625,1716.25,1497.625,38.23,44.44
1.4,1758.5,1952.125,2113.25,2073.625,2415.75,1885.125,491.125,2336.625,1716.25,1497.625,38.23,44.44
1.5,1758.375,1952.0,2113.25,2073.625,2415.75,1885.125,491.0,2336.5,1716.25,1497.625,38.22,44.48
1.6,1758.375,1951.875,2113.25,2073.625,2415.75,1885.125,491.0,2336.5,1716.25,1497.75,38.22,44.43
1.7,1758.375,1951.875,2113.25,2073.625,2415.75,1885.125,490.875,2336.375,1716.25,1497.75,38.22,44.41
1.8,1758.25,1951.875,2113.25,2073.625,2415.875,1885.0,490.875,2336.375,1716.25,1497.75,38.22,44.44
1.9,1758.25,1951.75,2113.125,2073.625,2415.875,1885.0,490.875,2336.25,1716.25,1497.75,38.22,44.43
2.0,1758.25,1951.75,2113.125,2073.625,2415.875,1885.125,490.75,2336.25,1716.25,1497.75,38.22,44.44
2.1,1758.375,1951.625,2113.25,2073.625,2416.0,1885.125,490.625,2336.125,1716.5,1497.875,38.2,44.39
