time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1921.125,2182.875,2102.25,2231.0,2440.875,1916.625,447.0,2577.375,1786.5,1644.125,38.43,44.89
0.1,1920.375,2181.5,2102.25,2230.375,2440.875,1916.625,447.0,2576.5,1786.0,1643.375,38.45,44.92
0.2,1919.75,2180.0,2102.125,2229.625,2440.75,1916.375,447.125,2575.75,1785.5,1642.625,38.45,44.89
0.3,1919.125,2178.5,2102.125,2229.0,2440.75,1916.375,447.125,2574.875,1785.125,1642.0,38.45,44.9
0.4,1918.5,2177.0,2102.125,2228.375,2440.625,1916.375,447.125,2574.0,1784.75,1641.375,38.45,44.95
0.5,1917.875,2175.5,2102.125,2227.75,2440.5,1916.375,447.0,2573.25,1784.375,1640.75,38.46,44.95
0.6,1917.25,2174.125,2102.25,2227.125,2440.375,1916.25,447.0,2572.375,1784.0,1640.125,38.46,44.93
0.7,1916.5,2172.875,2102.25,2226.5,2440.375,1916.25,447.0,2571.625,1783.625,1639.5,38.47,44.91
0.8,1915.875,2171.5,2102.125,2226.0,2440.25,1916.125,447.0,2570.875,1783.125,1639.0,38.46,44.97
0.9,1915.125,2170.125,2102.0,2225.375,2440.125,1916.125,447.0,2570.125,1782.875,1638.5,38.46,44.93
1.0,1914.5,2168.75,2102.0,2224.75,2440.25,1916.125,446.875,2569.375,1782.625,1637.875,38.45,44.9
1.1,1914.0,2167.375,2102.125,2224.25,2440.125,1916.125,447.0,2568.5,1782.375,1637.375,38.47,44.91
1.2,1913.375,2166.0,2102.125,2223.5,2440.125,1916.125,447.0,2567.75,1782.125,1636.875,38.49,44.95
1.3,1912.75,2164.75,2102.125,2223.0,2440.0,1916.125,446.875,2567.125,1781.75,1636.5,38.46,44.96
1.4,1912.125,2163.5,2102.125,2222.5,2439.875,1916.125,447.0,2566.375,1781.375,1636.0,38.46,44.97
1.5,1911.5,2162.375,2102.0,2222.0,2439.875,1916.125,446.875,2565.625,1781.125,1635.5,38.47,44.89
1.6,1910.875,2161.125,2102.0,2221.375,2439.875,1916.0,447.0,2565.0,1780.875,1635.0,38.46,44.93
1.7,1910.25,2159.75,2102.0,2220.875,2439.875,1916.0,447.0,2564.25,1780.625,1634.5,38.47,44.93
1.8,1909.75,2158.5,2102.0,2220.375,2439.75,1916.125,446.875,2563.5,1780.375,1634.125,38.47,44.93
1.9,1909.25,2157.25,2102.0,2219.75,2439.75,1916.125,447.0,2562.875,1780.125,1633.75,38.49,44.93
2.0,1908.75,2156.0,2102.125,2219.25,2439.75,1916.125,446.875,2562.125,1779.875,1633.25,38.47,44.96
2.1,1908.25,2154.875,2102.0,2218.75,2439.75,1916.0,446.875,2561.5,1779.75,1633.0,38.47,44.96
2.2,1907.75,2153.875,2102.0,2218.375,2439.75,1915.875,446.875,2560.875,1779.625,1632.625,38.47,44.98
2.3,1907.125,2152.75,2102.0,2217.875,2439.75,1915.875,446.75,2560.25,1779.5,1632.25,38.47,44.93
2.4,1906.625,2151.625,2102.0,2217.25,2439.75,1915.875,446.625,2559.625,1779.5,1632.0,38.46,44.97
2.5,1906.125,2150.5,2102.0,2216.875,2439.75,1915.875,446.625,2559.0,1779.5,1631.75,38.47,44.91
2.6,1905.625,2149.375,2102.0,2216.375,2439.875,1916.125,446.625,2558.25,1779.75,1631.5,38.47,44.99
2.7,1905.125,2148.375,2102.0,2215.875,2439.875,1916.625,446.625,2557.75,1780.375,1631.375,38.47,44.95
2.8,1904.625,2147.5,2102.0,2215.5,2439.875,1917.5,446.625,2557.25,1781.25,1631.5,38.45,44.96
2.9,1904.125,2147.0,2102.0,2215.125,2440.0,1919.125,446.625,2556.75,1782.75,1631.875,38.47,44.96
3.0,1903.625,2146.875,2102.0,2215.0,2440.125,1921.625,446.625,2556.625,1785.125,1632.75,38.47,45.02
3.1,1903.125,2147.0,2102.0,2214.875,2440.5,1924.875,446.625,2556.75,1788.875,1634.25,38.49,45.01
3.2,1902.625,2147.5,2101.875,2214.875,2441.0,1929.0,446.625,2557.25,1794.625,1636.375,38.49,45.03
3.3,1902.25,2148.5,2101.875,2215.25,2441.75,1934.125,446.625,2558.125,1802.5,1638.875,38.47,45.09
3.4,1901.875,2150.0,2102.0,2215.75,2442.625,1940.0,446.75,2559.25,1812.625,1641.875,38.5,45.11
3.5,1901.625,2152.125,2102.0,2216.5,2443.75,1946.875,446.875,2560.875,1825.125,1645.5,38.5,45.13
3.6,1901.5,2154.75,2102.0,2217.625,2445.25,1954.5,447.125,2562.875,1840.25,1649.625,38.51,45.22
3.7,1901.375,2158.125,2102.125,2219.0,2446.875,1963.0,447.25,2565.125,1857.375,1654.375,38.47,45.22
3.8,1901.25,2162.0,2102.125,2220.75,2448.75,1972.125,447.375,2567.875,1876.625,1659.625,38.49,45.25
3.9,1901.375,2166.625,2102.125,2222.875,2451.0,1981.875,447.5,2571.0,1897.625,1665.625,38.5,45.27
4.0,1901.75,2171.75,2102.125,2225.25,2453.5,1992.125,447.75,2574.375,1920.0,1672.0,38.5,45.33
4.1,1902.125,2177.375,2102.25,2228.0,2456.125,2002.875,448.0,2578.125,1943.75,1678.875,38.49,45.33
4.2,1902.875,2183.625,2102.375,2231.0,2459.125,2013.75,448.25,2582.125,1968.25,1686.25,38.49,45.34
4.3,1903.75,2190.625,2102.5,2234.5,2462.25,2025.125,448.375,2586.75,1993.5,1694.0,38.49,45.41
4.4,1904.75,2198.125,2102.625,2238.25,2465.625,2036.5,448.75,2591.625,2018.875,1702.25,38.47,45.46
4.5,1906.0,2206.25,2102.75,2242.375,2469.125,2047.875,449.0,2596.75,2044.0,1710.75,38.47,45.44
4.6,1907.375,2215.0,2102.75,2246.75,2473.0,2059.25,449.375,2602.375,2069.375,1719.5,38.46,45.52
4.7,1909.0,2224.125,2102.875,2251.5,2477.0,2070.625,449.75,2608.25,2094.625,1728.625,38.46,45.57
4.8,1910.875,2233.5,2103.0,2256.5,2481.0,2081.75,450.125,2614.375,2119.25,1737.875,38.47,45.57
4.9,1913.0,2243.5,2103.25,2261.875,2485.25,2092.75,450.5,2620.875,2143.625,1747.5,38.47,45.63
5.0,1915.375,2253.75,2103.625,2267.625,2489.625,2103.375,450.875,2627.75,2167.5,1757.125,38.47,45.61
5.1,1917.875,2264.375,2103.75,2273.375,2494.0,2113.5,451.375,2634.75,2190.5,1766.875,38.5,45.69
5.2,1920.75,2275.375,2104.0,2279.625,2498.5,2123.375,451.75,2642.0,2213.0,1776.875,38.47,45.69
5.3,1923.875,2286.75,2104.125,2286.125,2503.125,2132.625,452.25,2649.625,2234.75,1786.75,38.49,45.76
5.4,1927.0,2298.125,2104.375,2292.75,2507.75,2141.5,452.875,2657.5,2255.625,1796.625,38.5,45.76
5.5,1930.5,2310.0,2104.625,2299.5,2512.5,2150.0,453.375,2665.5,2275.875,1806.5,38.49,45.82
5.6,1934.25,2321.75,2105.0,2306.625,2517.125,2158.125,454.0,2673.625,2295.375,1816.375,38.49,45.84
5.7,1938.25,2333.625,2105.25,2313.75,2521.75,2165.75,454.75,2681.875,2313.875,1826.125,38.49,45.87
5.8,1942.625,2345.75,2105.625,2321.125,2526.375,2173.0,455.25,2690.375,2331.75,1835.875,38.49,45.89
5.9,1947.125,2358.0,2106.0,2328.75,2530.875,2179.625,455.875,2699.0,2348.75,1845.375,38.49,45.92
6.0,1951.625,2370.125,2106.375,2336.375,2535.375,2185.875,456.5,2707.625,2364.75,1854.875,38.51,45.96
6.1,1956.5,2382.5,2106.625,2344.125,2539.875,2191.75,457.25,2716.25,2380.125,1864.125,38.49,45.97
6.2,1961.5,2394.75,2107.125,2352.0,2544.25,2197.25,458.0,2725.25,2394.75,1873.5,38.49,46.04
6.3,1966.625,2406.875,2107.375,2360.0,2548.5,2202.375,458.625,2734.0,2408.5,1882.375,38.5,46.06
6.4,1972.0,2419.0,2107.875,2368.0,2552.625,2207.125,459.375,2742.75,2421.75,1891.25,38.49,46.03
6.5,1977.625,2431.125,2108.25,2376.0,2556.75,2211.5,460.25,2751.625,2434.125,1900.0,38.49,46.07
6.6,1983.25,2443.0,2108.75,2384.125,2560.625,2215.375,461.125,2760.375,2445.75,1908.375,38.5,46.11
6.7,1989.125,2455.0,2109.25,2392.25,2564.5,2219.125,462.0,2769.0,2456.75,1916.625,38.49,46.14
6.8,1995.25,2466.875,2109.75,2400.375,2568.25,2222.375,463.0,2777.75,2467.25,1924.875,38.49,46.15
6.9,2001.25,2478.625,2110.25,2408.5,2571.75,2225.25,463.875,2786.375,2476.875,1932.75,38.5,46.18
7.0,2007.5,2490.25,2110.75,2416.625,2575.25,2228.0,464.75,2795.125,2486.125,1940.5,38.49,46.23
7.1,2013.75,2501.625,2111.25,2424.75,2578.625,2230.5,465.75,2803.625,2494.75,1948.0,38.5,46.2
7.2,2020.125,2512.875,2111.75,2432.625,2581.75,2232.625,466.75,2812.125,2502.75,1955.25,38.49,46.21
7.3,2026.625,2524.0,2112.375,2440.625,2584.875,2234.5,467.75,2820.5,2510.25,1962.25,38.5,46.28
7.4,2033.125,2535.0,2113.0,2448.5,2587.75,2236.25,468.75,2828.75,2517.25,1969.125,38.49,46.31
7.5,2039.875,2545.75,2113.625,2456.375,2590.625,2237.625,469.75,2837.0,2523.75,1976.0,38.47,46.3
7.6,2046.5,2556.5,2114.125,2464.25,2593.375,2238.875,470.75,2845.25,2529.875,1982.625,38.49,46.28
7.7,2053.125,2567.0,2114.625,2471.875,2596.0,2239.875,471.875,2853.25,2535.5,1988.875,38.5,46.31
7.8,2059.875,2577.375,2115.25,2479.625,2598.5,2240.75,472.875,2861.125,2540.875,1995.125,38.5,46.32
7.9,2066.75,2587.5,2115.875,2487.25,2600.875,2241.625,474.0,2868.875,2545.75,2001.25,38.46,46.35
8.0,2073.5,2597.25,2116.5,2494.5,2603.0,2242.375,475.125,2876.375,2550.25,2007.0,38.5,46.41
8.1,2080.25,2607.0,2117.125,2501.875,2605.25,2243.0,476.125,2883.875,2554.5,2012.625,38.5,46.38
8.2,2087.125,2616.625,2117.75,2509.125,2607.375,2243.375,477.375,2891.125,2558.375,2018.25,38.49,46.4
8.3,2093.875,2626.0,2118.375,2516.25,2609.25,2243.625,478.5,2898.25,2561.875,2023.5,38.49,46.4
8.4,2100.625,2635.375,2119.0,2523.25,2611.0,2243.75,479.625,2905.375,2565.125,2028.75,38.49,46.4
8.5,2107.375,2644.5,2119.625,2530.25,2612.75,2243.75,480.75,2912.375,2568.125,2033.875,38.47,46.47
8.6,2114.0,2653.25,2120.25,2537.0,2614.375,2243.75,482.0,2919.0,2570.75,2038.75,38.49,46.45
