time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1554.25,1283.5,1651.75,1995.75,1898.25,1638.75,599.125,2337.875,2116.5,1719.125,30.54,43.09
0.1,1554.375,1283.5,1651.75,1995.75,1898.125,1638.875,599.25,2337.75,2116.5,1719.125,30.54,43.11
0.2,1554.25,1283.5,1651.75,1995.875,1898.25,1638.875,599.25,2337.875,2116.375,1719.125,30.53,43.08
0.3,1554.25,1283.5,1651.625,1995.875,1898.25,1638.875,599.125,2337.875,2116.5,1719.125,30.56,43.1
0.4,1554.25,1283.375,1651.625,1995.75,1898.25,1639.0,598.875,2337.75,2116.5,1719.125,30.57,43.08
0.5,1554.25,1283.5,1651.625,1995.875,1898.125,1639.0,599.25,2337.875,2116.375,1719.125,30.57,43.08
0.6,1554.25,1283.375,1651.5,1995.75,1898.25,1639.0,599.25,2337.875,2116.375,1719.125,30.54,43.13
0.7,1554.25,1283.375,1651.625,1995.75,1898.25,1639.125,599.0,2337.875,2116.5,1719.125,30.58,43.11
0.8,1554.125,1283.375,1651.5,1995.75,1898.25,1639.125,599.125,2337.875,2116.25,1719.125,30.56,43.11
0.9,1554.125,1283.375,1651.5,1995.875,1898.25,1639.125,599.125,2337.875,2116.375,1719.125,30.56,43.1
1.0,1554.125,1283.25,1651.5,1995.75,1898.25,1639.25,599.0,2337.875,2116.5,1719.125,30.6,43.1
1.1,1554.25,1283.375,1651.5,1995.875,1898.25,1639.25,599.0,2337.875,2116.375,1719.125,30.54,43.09
1.2,1554.125,1283.375,1651.375,1995.875,1898.375,1639.25,599.125,2337.875,2116.375,1719.125,30.57,43.08
1.3,1554.125,1283.25,1651.375,1995.75,1898.25,1639.5,599.375,2337.875,2116.375,1719.125,30.56,43.11
1.4,1554.125,1283.375,1651.375,1995.875,1898.375,1639.375,599.125,2337.875,2116.25,1719.125,30.57,43.15
1.5,1554.0,1283.375,1651.375,1995.875,1898.375,1639.5,599.125,2337.875,2116.25,1719.125,30.54,43.12
1.6,1554.125,1283.375,1651.25,1995.875,1898.375,1639.625,599.125,2337.875,2116.375,1719.125,30.56,43.12
1.7,1554.0,1283.375,1651.375,1995.875,1898.375,1639.625,599.125,2338.0,2116.25,1719.25,30.57,43.1
1.8,1554.0,1283.5,1651.25,1995.875,1898.5,1639.625,599.125,2338.0,2116.25,1719.25,30.56,43.13
1.9,1554.0,1283.375,1651.25,1995.875,1898.5,1639.625,599.125,2337.875,2116.25,1719.125,30.57,43.1
2.0,1554.0,1283.375,1651.25,1995.875,1898.5,1639.625,599.25,2337.875,2116.25,1719.25,30.56,43.15
2.1,1553.875,1283.375,1651.125,1995.875,1898.625,1639.75,599.25,2338.0,2116.25,1719.375,30.58,43.13
2.2,1553.875,1283.375,1651.0,1995.875,1898.5,1639.875,599.0,2337.875,2116.5,1719.375,30.57,43.1
2.3,1553.875,1283.25,1651.0,1995.75,1898.5,1640.0,599.125,2337.875,2116.375,1719.375,30.57,43.17
2.4,1553.875,1283.375,1650.875,1995.875,1898.5,1640.25,599.25,2337.875,2116.375,1719.375,30.57,43.12
