time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1545.5,1328.125,1594.0,1969.0,1916.0,1659.875,549.125,2240.375,2065.125,1662.375,30.36,46.22
0.1,1545.375,1327.875,1593.875,1968.875,1915.875,1659.75,549.125,2240.25,2065.125,1662.25,30.37,46.26
0.2,1545.375,1327.75,1594.0,1968.75,1915.75,1659.625,549.125,2240.125,2065.0,1662.125,30.36,46.27
0.3,1545.25,1327.875,1593.875,1968.75,1915.75,1659.5,549.0,2239.875,2064.875,1662.125,30.36,46.27
0.4,1545.25,1327.75,1593.875,1968.625,1915.625,1659.5,548.875,2239.75,2064.875,1661.875,30.38,46.25
0.5,1545.25,1327.625,1593.875,1968.5,1915.5,1659.375,548.625,2239.625,2064.75,1661.875,30.36,46.26
0.6,1545.125,1327.625,1593.75,1968.375,1915.5,1659.125,548.75,2239.5,2064.625,1661.75,30.34,46.21
0.7,1545.0,1327.375,1593.75,1968.25,1915.375,1659.25,548.625,2239.25,2064.625,1661.625,30.36,46.2
0.8,1545.0,1327.375,1593.875,1968.125,1915.375,1659.0,548.625,2239.0,2064.5,1661.625,30.36,46.24
0.9,1544.875,1327.375,1593.75,1968.125,1915.25,1659.0,548.375,2239.0,2064.25,1661.5,30.36,46.22
1.0,1544.75,1327.125,1593.75,1968.0,1915.25,1659.0,548.375,2238.75,2064.25,1661.375,30.37,46.21
1.1,1544.875,1327.125,1593.75,1967.875,1915.125,1658.875,548.375,2238.625,2064.25,1661.25,30.34,46.17
1.2,1544.625,1327.125,1593.75,1967.75,1915.125,1658.75,548.375,2238.5,2064.125,1661.125,30.38,46.2
1.3,1544.5,1327.0,1593.625,1967.75,1915.0,1658.75,548.25,2238.25,2064.125,1661.0,30.36,46.19
1.4,1544.5,1326.75,1593.75,1967.5,1914.875,1658.875,548.25,2238.125,2064.0,1660.875,30.36,46.2
1.5,1544.5,1326.875,1593.625,1967.5,1914.875,1658.75,548.125,2238.0,2063.875,1660.75,30.34,46.2
1.6,1544.375,1326.625,1593.625,1967.375,1914.875,1658.75,547.875,2237.75,2063.875,1660.625,30.34,46.2
1.7,1544.375,1326.5,1593.625,1967.25,1914.75,1658.75,547.875,2237.625,2063.75,1660.625,30.37,46.19
1.8,1544.25,1326.625,1593.625,1967.25,1914.75,1658.75,547.875,2237.5,2063.625,1660.5,30.34,46.13
1.9,1544.125,1326.375,1593.5,1967.125,1914.625,1658.875,547.875,2237.375,2063.625,1660.375,30.36,46.17
2.0,1544.125,1326.25,1593.625,1967.0,1914.625,1658.875,547.75,2237.125,2063.5,1660.375,30.36,46.17
2.1,1544.0,1326.125,1593.5,1966.875,1914.5,1658.875,547.625,2237.0,2063.375,1660.25,30.37,46.19
2.2,1543.75,1326.125,1593.375,1966.75,1914.5,1659.0,547.5,2236.875,2063.375,1660.25,30.37,46.16
2.3,1543.75,1325.875,1593.375,1966.625,1914.375,1659.125,547.5,2236.625,2063.375,1660.125,30.34,46.15
2.4,1543.625,1325.875,1593.375,1966.5,1914.375,1659.375,547.25,2236.5,2063.125,1660.125,30.36,46.15
2.5,1543.625,1325.75,1593.25,1966.5,1914.375,1660.375,547.25,2236.375,2063.125,1660.0,30.36,46.15
2.6,1543.375,1325.625,1593.25,1966.75,1914.375,1662.75,547.125,2236.25,2063.25,1659.875,30.37,46.14
2.7,1543.375,1325.625,1593.25,1967.5,1914.5,1666.75,547.25,2236.375,2063.75,1659.875,30.34,46.16
2.8,1543.375,1325.875,1593.25,1969.125,1914.875,1672.0,547.125,2236.875,2064.5,1660.25,30.38,46.16
2.9,1543.125,1326.375,1593.25,1971.5,1915.5,1678.625,547.375,2238.0,2065.625,1661.375,30.36,46.19
3.0,1543.125,1327.0,1593.25,1974.5,1916.5,1686.5,547.875,2240.25,2067.375,1664.125,30.38,46.18
3.1,1543.125,1328.375,1593.375,1978.25,1918.125,1695.125,548.5,2244.0,2069.375,1669.0,30.4,46.18
3.2,1543.125,1330.125,1593.5,1982.625,1920.5,1705.0,549.875,2249.375,2072.25,1676.625,30.34,46.15
3.3,1543.375,1332.375,1593.875,1987.875,1923.625,1715.75,551.875,2256.5,2075.875,1687.125,30.37,46.2
3.4,1544.0,1335.375,1594.5,1994.0,1927.5,1726.5,554.5,2265.0,2080.125,1700.0,30.37,46.21
3.5,1545.0,1339.125,1595.125,2001.0,1932.25,1737.625,557.375,2275.125,2085.625,1714.875,30.37,46.27
3.6,1546.625,1343.375,1596.125,2008.75,1937.75,1748.75,560.875,2286.375,2092.25,1731.375,30.37,46.21
3.7,1548.75,1348.5,1597.375,2017.375,1944.0,1759.625,565.0,2298.875,2100.0,1749.125,30.36,46.31
3.8,1551.625,1354.375,1598.75,2026.875,1950.875,1770.375,569.375,2312.5,2108.875,1768.125,30.38,46.35
3.9,1555.125,1360.75,1600.375,2036.875,1958.375,1780.875,574.125,2327.125,2119.0,1787.75,30.36,46.34
4.0,1559.25,1367.625,1602.125,2047.375,1966.125,1790.875,579.375,2342.375,2129.875,1808.0,30.38,46.4
4.1,1564.25,1375.5,1603.875,2058.625,1974.375,1800.5,585.125,2358.5,2141.625,1828.75,30.38,46.46
4.2,1569.625,1383.625,1605.875,2070.25,1982.875,1809.75,590.625,2375.25,2154.375,1849.625,30.37,46.52
4.3,1575.875,1392.375,1608.125,2082.125,1991.375,1818.375,597.0,2392.125,2167.5,1870.25,30.36,46.54
4.4,1582.5,1401.75,1610.375,2094.625,2000.0,1826.5,603.25,2409.5,2181.25,1890.625,30.37,46.6
4.5,1589.75,1411.5,1612.625,2107.25,2008.75,1834.25,610.0,2427.125,2195.5,1910.5,30.38,46.68
4.6,1597.625,1421.625,1615.0,2119.75,2017.25,1841.375,616.75,2444.625,2210.0,1929.625,30.37,46.72
4.7,1605.75,1432.25,1617.375,2132.5,2025.625,1848.125,623.875,2462.375,2224.75,1948.5,30.38,46.77
4.8,1614.375,1443.125,1619.625,2145.25,2033.875,1854.375,631.0,2479.875,2239.625,1966.5,30.4,46.8
4.9,1623.375,1454.25,1622.0,2158.0,2041.875,1860.25,638.25,2497.375,2254.875,1984.125,30.37,46.86
5.0,1632.75,1465.75,1624.375,2170.75,2049.5,1865.625,645.625,2514.625,2269.875,2001.125,30.38,46.96
5.1,1642.25,1477.375,1626.625,2183.25,2056.875,1870.625,653.125,2531.625,2284.625,2017.125,30.4,46.96
5.2,1652.0,1489.25,1628.875,2195.5,2063.875,1875.375,660.75,2548.25,2299.625,2032.625,30.37,47.05
5.3,1662.0,1501.5,1631.0,2207.625,2070.75,1879.625,668.125,2564.625,2314.375,2047.375,30.36,47.11
5.4,1671.875,1513.875,1633.0,2219.5,2077.125,1883.5,675.75,2580.5,2328.75,2061.25,30.38,47.14
5.5,1681.875,1526.375,1635.0,2231.125,2083.25,1887.25,683.25,2596.125,2343.25,2074.375,30.37,47.23
5.6,1692.0,1539.0,1637.0,2242.5,2089.0,1890.625,690.75,2611.375,2357.375,2087.125,30.38,47.28
5.7,1701.875,1551.625,1638.75,2253.5,2094.375,1893.625,698.0,2626.0,2371.25,2099.0,30.37,47.39
5.8,1711.875,1564.375,1640.375,2264.125,2099.625,1896.5,705.5,2640.5,2385.0,2110.375,30.37,47.4
5.9,1721.875,1577.125,1642.125,2274.5,2104.5,1899.125,712.875,2654.375,2398.375,2121.375,30.4,47.5
6.0,1731.5,1589.875,1643.625,2284.5,2109.25,1901.375,720.125,2667.875,2411.375,2131.75,30.4,47.5
6.1,1741.25,1602.5,1645.125,2294.25,2113.625,1903.625,727.25,2680.875,2424.25,2141.625,30.37,47.58
6.2,1750.75,1615.125,1646.5,2303.625,2117.75,1905.625,734.375,2693.625,2436.875,2151.0,30.37,47.64
6.3,1759.875,1627.75,1647.75,2312.625,2121.625,1907.375,741.375,2705.625,2449.0,2159.875,30.38,47.74
6.4,1769.0,1640.125,1648.875,2321.375,2125.25,1909.0,748.25,2717.375,2461.0,2168.25,30.38,47.79
6.5,1778.0,1652.5,1650.0,2329.75,2128.75,1910.75,755.125,2728.75,2472.75,2176.25,30.38,47.9
6.6,1786.625,1664.75,1651.125,2337.75,2132.0,1912.25,761.75,2739.625,2484.0,2183.875,30.37,47.92
6.7,1795.125,1677.0,1652.0,2345.75,2135.125,1913.5,768.25,2750.125,2495.125,2191.125,30.37,47.93
6.8,1803.375,1689.0,1653.0,2353.125,2138.0,1914.875,774.625,2760.25,2506.0,2198.0,30.37,48.04
