time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,2094.5,2713.5,2142.125,2414.625,2514.75,2072.125,476.25,2780.5,2154.875,1887.125,45.37,33.04
0.1,2094.5,2713.5,2142.0,2414.75,2514.75,2072.125,476.125,2780.5,2155.0,1887.25,45.37,33.02
0.2,2094.5,2713.625,2142.0,2414.75,2514.75,2072.25,476.25,2780.625,2155.125,1887.375,45.36,32.96
0.3,2094.625,2713.75,2142.0,2414.875,2514.75,2072.125,476.25,2780.625,2155.125,1887.375,45.36,32.96
0.4,2094.625,2713.75,2142.0,2414.875,2514.75,2072.25,476.25,2780.75,2155.25,1887.5,45.39,32.97
0.5,2094.75,2713.875,2142.125,2415.0,2514.75,2072.25,476.375,2780.875,2155.25,1887.5,45.37,33.06
0.6,2094.875,2713.875,2142.125,2415.0,2514.75,2072.25,476.25,2781.0,2155.25,1887.625,45.39,32.99
0.7,2095.0,2714.0,2142.25,2415.125,2514.75,2072.25,476.5,2781.0,2155.25,1887.75,45.39,32.99
0.8,2095.0,2714.0,2142.125,2415.125,2514.75,2072.25,476.5,2781.125,2155.25,1887.75,45.37,33.02
0.9,2095.125,2714.25,2142.25,2415.125,2514.75,2072.25,476.5,2781.125,2155.25,1887.875,45.4,32.97
1.0,2095.125,2714.375,2142.125,2415.25,2514.625,2072.25,476.375,2781.25,2155.25,1888.0,45.39,33.01
1.1,2095.125,2714.5,2142.125,2415.375,2514.75,2072.25,476.5,2781.25,2155.25,1888.0,45.39,32.97
1.2,2095.125,2714.5,2142.125,2415.5,2514.75,2072.125,476.5,2781.375,2155.375,1888.0,45.4,32.96
1.3,2095.25,2714.625,2142.125,2415.5,2514.75,2072.25,476.5,2781.5,2155.375,1888.125,45.39,32.99
1.4,2095.25,2714.75,2142.125,2415.5,2514.625,2072.25,476.5,2781.5,2155.5,1888.125,45.39,33.01
1.5,2095.375,2714.75,2142.125,2415.5,2514.625,2072.25,476.5,2781.625,2155.5,1888.125,45.37,32.99
1.6,2095.5,2714.75,2142.125,2415.625,2514.625,2072.25,476.625,2781.75,2155.625,1888.25,45.39,33.01
1.7,2095.625,2714.875,2142.25,2415.625,2514.5,2072.25,476.625,2781.75,2155.625,1888.25,45.42,32.96
1.8,2095.625,2714.875,2142.25,2415.75,2514.5,2072.25,476.625,2781.75,2155.625,1888.25,45.42,33.01
1.9,2095.75,2715.0,2142.25,2415.75,2514.5,2072.25,476.5,2781.875,2155.625,1888.375,45.4,32.99
2.0,2095.75,2715.125,2142.375,2416.0,2514.625,2072.125,476.5,2782.0,2155.625,1888.5,45.42,33.01
2.1,2095.875,2715.375,2142.375,2416.125,2514.625,2072.125,476.625,2782.125,2155.875,1888.625,45.39,32.96
2.2,2096.0,2715.5,2142.5,2416.25,2514.625,2072.0,476.625,2782.25,2156.0,1888.875,45.42,32.98
2.3,2096.0,2715.625,2142.625,2416.5,2514.625,2072.0,476.5,2782.25,2156.25,1889.0,45.39,32.99
2.4,2096.125,2715.625,2142.625,2416.625,2514.625,2072.125,476.5,2782.5,2156.625,1889.25,45.39,32.97
2.5,2096.25,2715.875,2142.75,2416.75,2514.625,2072.75,476.5,2782.5,2157.375,1889.375,45.4,32.96
2.6,2096.375,2716.25,2142.75,2417.0,2514.75,2075.125,476.5,2782.625,2159.125,1889.75,45.4,32.99
2.7,2096.5,2717.25,2143.0,2417.625,2514.75,2081.75,476.625,2783.25,2162.375,1891.75,45.37,32.97
2.8,2096.625,2719.25,2143.0,2419.0,2515.0,2094.75,476.625,2785.125,2167.75,1898.75,45.4,33.01
2.9,2096.75,2722.75,2143.0,2421.375,2515.75,2115.75,476.75,2789.875,2176.125,1915.375,45.42,33.09
3.0,2097.0,2727.75,2143.0,2425.125,2517.625,2145.375,476.875,2798.5,2188.5,1944.875,45.4,33.29
